DATE;ACTIVITY TYPE;ACTIVITY NAME;DEBIT;DEBIT CURRENCY;CREDIT;CREDIT CURRENCY;CARD NUMBER;LOCALITY;RECIPIENT;SENDER;FEES/COMMISSION;BUY/SELL;QUANTITY;ASSET;PRICE PER UNIT
15/04/2025;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
16/04/2025;PAYMENT_TRANSACTION_OUT;"""Überweisung an Seeclub Stafa""";-695.00;CHF;;;;;"""Seeclub Stafa""";;0;;;;
15/05/2025;CARD_TRANSACTION_OUT;"""Netflix""";-27.90;CHF;;;**** 0000;"""866-579-7172, NL""";"""Netflix""";;0.0;;;;
15/05/2025;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
15/06/2025;CARD_TRANSACTION_OUT;"""Netflix""";-27.90;CHF;;;**** 0000;"""Los Gatos, NL""";"""Netflix""";;0.0;;;;
15/06/2025;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
20/06/2025;PAYMENT_TRANSACTION_OUT;"""Überweisung an UZH Alumni""";-60.00;CHF;;;;;"""UZH Alumni""";;0;;;;
26/06/2025;CARD_TRANSACTION_OUT;"""Paddle.net""";-253.79;CHF;;;**** 0000;"""35314369001, GB""";"""Paddle.net""";;0.0;;;;
27/06/2025;PAYMENT_TRANSACTION_OUT;"""Überweisung an Brunner Medien AG""";-55.00;CHF;;;;;"""Brunner Medien AG""";;0;;;;
27/06/2025;PAYMENT_TRANSACTION_OUT;"""Twint an ROLAND""";-27.50;CHF;;;;;"""ROLAND""";;0;;;;
30/06/2025;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
15/07/2025;CARD_TRANSACTION_OUT;"""Netflix""";-27.90;CHF;;;**** 0000;"""Amsterdam, NL""";"""Netflix""";;0.0;;;;
15/07/2025;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
15/08/2025;CARD_TRANSACTION_OUT;"""Netflix""";-27.90;CHF;;;**** 0000;"""Amsterdam, NL""";"""Netflix""";;0.0;;;;
15/08/2025;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
16/08/2025;CARD_TRANSACTION_OUT;"""ExpressVPN""";-98.58;CHF;;;**** 0000;"""4029357733, US""";"""ExpressVPN""";;0.0;;;;
18/08/2025;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
21/08/2025;CARD_TRANSACTION_OUT;"""Zürcher Kantonalbank""";-1000.00;CHF;;;**** 0000;"""Staefa, CH""";"""Zürcher Kantonalbank""";;0.0;;;;
03/09/2025;PAYMENT_TRANSACTION_IN;"""Überweisung von swisscharge.ch AG""";;;399.03;CHF;;;;"""swisscharge.ch AG""";0;;;;
06/09/2025;CARD_TRANSACTION_OUT;"""ZKB Staefa""";-300.00;CHF;;;**** 0000;"""Staefa, CH""";"""ZKB Staefa""";;0.0;;;;
06/09/2025;PAYMENT_TRANSACTION_OUT;"""Twint an MUSTER ADRIAN""";-55.00;CHF;;;;;"""MUSTER ADRIAN""";;0;;;;
15/09/2025;CARD_TRANSACTION_OUT;"""Netflix""";-27.90;CHF;;;**** 0000;"""Amsterdam, NL""";"""Netflix""";;0.0;;;;
15/09/2025;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
15/10/2025;CARD_TRANSACTION_OUT;"""Netflix""";-27.90;CHF;;;**** 0000;"""Los Gatos, NL""";"""Netflix""";;0.0;;;;
15/10/2025;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
16/10/2025;PAYMENT_TRANSACTION_OUT;"""Überweisung an Bratschi Ltd, Zurich""";-1970.00;CHF;;;;;"""Bratschi Ltd, Zurich""";;0;;;;
21/10/2025;PAYMENT_TRANSACTION_OUT;"""Überweisung an Bunzfischete c/o Kantonsschule Wohl""";-20.00;CHF;;;;;"""Bunzfischete c/o Kantonsschule Wohl""";;0;;;;
23/10/2025;PAYMENT_TRANSACTION_OUT;"""Überweisung an Offiziersgesellschaft Zurichsee rec""";-60.00;CHF;;;;;"""Offiziersgesellschaft Zurichsee rec""";;0;;;;
03/11/2025;PAYMENT_TRANSACTION_OUT;"""Überweisung an Nadia Muster""";-42.00;CHF;;;;;"""Nadia Muster""";;0;;;;
15/11/2025;CARD_TRANSACTION_OUT;"""Netflix""";-29.90;CHF;;;**** 0000;"""Los Gatos, NL""";"""Netflix""";;0.0;;;;
15/11/2025;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
26/11/2025;PAYMENT_TRANSACTION_OUT;"""Überweisung an Seeclub Stafa""";-300.00;CHF;;;;;"""Seeclub Stafa""";;0;;;;
15/12/2025;CARD_TRANSACTION_OUT;"""Netflix""";-29.90;CHF;;;**** 0000;"""Los Gatos, NL""";"""Netflix""";;0.0;;;;
15/12/2025;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
15/01/2026;CARD_TRANSACTION_OUT;"""Netflix""";-29.90;CHF;;;**** 0000;"""Los Gatos, NL""";"""Netflix""";;0.0;;;;
15/01/2026;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
08/02/2026;PAYMENT_TRANSACTION_OUT;"""Überweisung an Brunner Medien AG""";-55.00;CHF;;;;;"""Brunner Medien AG""";;0;;;;
15/02/2026;CARD_TRANSACTION_OUT;"""Netflix""";-29.90;CHF;;;**** 0000;"""Los Gatos, NL""";"""Netflix""";;0.0;;;;
15/02/2026;CARD_TRANSACTION_OUT;"""Cleverbridge""";-129.99;CHF;;;**** 0000;"""35314369001, DE""";"""Cleverbridge""";;0.0;;;;
15/02/2026;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
18/02/2026;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
15/03/2026;CARD_TRANSACTION_OUT;"""Netflix""";-29.90;CHF;;;**** 0000;"""Los Gatos, NL""";"""Netflix""";;0.0;;;;
15/03/2026;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
16/03/2026;PAYMENT_TRANSACTION_OUT;"""Überweisung an grunliberale Partei Bezirk Meilen""";-190.00;CHF;;;;;"""grunliberale Partei Bezirk Meilen""";;0;;;;
19/03/2026;PAYMENT_TRANSACTION_OUT;"""Überweisung an Ifolor AG""";-82.90;CHF;;;;;"""Ifolor AG""";;0;;;;
13/04/2026;CARD_TRANSACTION_OUT;"""Zattoo""";-140.00;CHF;;;**** 0000;"""Zürich, CH""";"""Zattoo""";;0.0;;;;
15/04/2026;CARD_TRANSACTION_OUT;"""Netflix""";-29.90;CHF;;;**** 0000;"""Amsterdam, NL""";"""Netflix""";;0.0;;;;
15/04/2026;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
15/04/2026;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;1;SWQ;
15/05/2026;CARD_TRANSACTION_OUT;"""Netflix""";-29.90;CHF;;;**** 0000;"""AMSTERDAM, NL""";"""Netflix""";;0.0;;;;
15/05/2026;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;0.5;SWQ;
11/06/2026;PAYMENT_TRANSACTION_OUT;"""Überweisung an Mahoko Muster""";-55.00;CHF;;;;;"""Mahoko Muster""";;0;;;;
15/06/2026;CARD_TRANSACTION_OUT;"""Netflix""";-29.90;CHF;;;**** 0000;"""AMSTERDAM, NL""";"""Netflix""";;0.0;;;;
15/06/2026;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;0.5;SWQ;
29/06/2026;PAYMENT_TRANSACTION_OUT;"""Überweisung an UZH Alumni""";-60.00;CHF;;;;;"""UZH Alumni""";;0;;;;
15/07/2026;CARD_TRANSACTION_OUT;"""Netflix""";-29.90;CHF;;;**** 0000;"""Amsterdam, NL""";"""Netflix""";;0.0;;;;
15/07/2026;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;0.5;SWQ;
26/07/2026;PAYMENT_TRANSACTION_IN;"""Twint von MUSTER SASKIA""";;;85.00;CHF;;;;"""MUSTER SASKIA""";0;;;;
04/08/2026;PAYMENT_TRANSACTION_IN;"""Twint von MUSTER MARIA""";;;11.00;CHF;;;;"""MUSTER MARIA""";0;;;;
15/08/2026;CARD_TRANSACTION_OUT;"""Netflix""";-29.90;CHF;;;**** 0000;"""AMSTERDAM, NL""";"""Netflix""";;0.0;;;;
15/08/2026;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;0.5;SWQ;
16/08/2026;CARD_TRANSACTION_OUT;"""ExpressVPN""";-99.31;CHF;;;**** 0000;"""4029357733, US""";"""ExpressVPN""";;0.0;;;;
17/08/2026;REWARD_RECEIVED;"""Kartenbonus""";;;;;;;;;;;0.5;SWQ;
18/08/2026;PAYMENT_TRANSACTION_OUT;"""Twint an MUSTER SASKIA""";-25.00;CHF;;;;;"""MUSTER SASKIA""";;0;;;;
